timestamp,Infrared to Red Signal Ratio
03/24/21 05:08:37,-4
03/24/21 05:09:37,6
03/24/21 05:10:37,13
03/24/21 05:11:37,46
03/24/21 05:12:37,2
03/24/21 05:13:37,9
03/24/21 05:14:38,-4
03/24/21 05:15:38,0
03/24/21 05:16:38,0
03/24/21 05:17:38,-1
03/24/21 05:18:38,-5
03/24/21 05:19:38,-25
03/24/21 05:20:38,-4
03/24/21 05:21:39,-8
03/24/21 05:22:39,-12
03/24/21 05:23:39,-14
03/24/21 05:24:39,-51
03/24/21 05:25:39,-1
03/24/21 05:26:39,0
03/24/21 05:27:40,0
03/24/21 05:28:40,-3
03/24/21 05:29:40,62
03/24/21 05:30:40,0
03/24/21 05:31:40,0
03/24/21 05:32:40,0
03/24/21 05:33:40,-23
03/24/21 05:34:41,0
03/24/21 05:35:41,0
03/24/21 05:36:41,-50
03/24/21 05:37:41,-5
03/24/21 05:38:41,7
03/24/21 05:39:41,0
03/24/21 05:40:41,0
03/24/21 05:41:42,0
03/24/21 05:42:42,-6
03/24/21 05:43:42,3
03/24/21 05:44:42,-2
03/24/21 05:45:42,10
03/24/21 05:46:42,4
03/24/21 05:47:43,0
03/24/21 05:48:43,7
03/24/21 05:49:43,79
03/24/21 05:50:43,0
03/24/21 05:51:43,-15
03/24/21 05:52:43,0
03/24/21 05:53:43,-25
03/24/21 05:54:44,-60
03/24/21 05:55:44,-4
03/24/21 05:56:44,-1
03/24/21 05:57:44,-1
03/24/21 05:58:44,1
03/24/21 05:59:44,-2
03/24/21 06:00:44,10
03/24/21 06:01:45,26
03/24/21 06:02:45,-47
03/24/21 06:03:45,-1
03/24/21 06:04:45,0
03/24/21 06:05:45,6
03/24/21 06:06:45,0
03/24/21 06:07:46,7
03/24/21 06:08:46,-8
03/24/21 06:09:47,9
03/24/21 06:10:48,-3
03/24/21 06:11:48,0
03/24/21 06:12:48,-11
03/24/21 06:13:48,-5
03/24/21 06:14:48,0
03/24/21 06:15:48,-17
03/24/21 06:16:49,4
03/24/21 06:17:49,-8
03/24/21 06:18:49,49
03/24/21 06:19:49,13
03/24/21 06:20:49,-20
